Sun Apr 22 11:28:09 2018

Number of Points = 2995
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-13.077584	-0.118022	0.810778	0.002959	0.456698
-13.432843	-0.008353	0.815782	0.003025	0.456564
-13.233126	-0.098363	0.820787	0.002988	0.456550
-13.233631	-0.157248	0.825792	0.002988	0.456362
-14.037706	0.147751	0.830797	0.003138	0.456240
-13.995780	0.134119	0.835802	0.003130	0.456254
-13.957757	0.114256	0.840806	0.003122	0.456243
-13.489390	-0.091031	0.845811	0.003035	0.456227
-13.851431	-0.030962	0.850816	0.003103	0.455925
-14.004740	0.023426	0.855821	0.003131	0.455890
-14.433068	0.114793	0.860826	0.003210	0.455597
-14.030164	-0.054076	0.865830	0.003135	0.455608
-14.288874	0.009127	0.870835	0.003183	0.455457
-14.538143	0.067597	0.875840	0.003230	0.455304
-14.528720	0.060123	0.880845	0.003228	0.455294
-14.371766	-0.087063	0.885850	0.003199	0.455037
-14.749325	0.046445	0.890854	0.003269	0.454949
-15.120542	0.123809	0.895859	0.003338	0.454689
-14.977432	0.059178	0.900864	0.003311	0.454679
-14.778312	-0.030780	0.905869	0.003274	0.454663
-15.083723	0.003883	0.910874	0.003330	0.454356
-15.117809	0.003539	0.915878	0.003337	0.454309
-15.399127	0.044666	0.920883	0.003389	0.454056
-15.013439	-0.156430	0.925888	0.003317	0.453939
-15.611562	0.039359	0.930893	0.003428	0.453748
-15.732973	0.096363	0.935898	0.003451	0.453766
-15.962788	0.099299	0.940902	0.003493	0.453460
-15.597821	-0.054567	0.945907	0.003425	0.453467
-16.102985	0.140645	0.950912	0.003519	0.453401
-16.265437	0.129199	0.955917	0.003549	0.453142
-16.187622	0.090501	0.960922	0.003535	0.453125
-15.734452	-0.129623	0.965926	0.003450	0.453040
-16.340419	0.059901	0.970931	0.003563	0.452817
-16.698209	0.134906	0.975936	0.003629	0.452567
-16.748652	0.138282	0.980941	0.003639	0.452509
-16.268441	-0.063441	0.985946	0.003549	0.452520
-16.702298	0.025170	0.990950	0.003630	0.452209
-16.935818	0.125031	0.995955	0.003673	0.452210
-16.860086	0.045075	1.000960	0.003659	0.452057

-17.016997	0.058418	1.010957	0.003688	0.451885
-16.963561	0.035025	1.020954	0.003678	0.451885
-17.064996	0.078278	1.030950	0.003696	0.451886
-16.791588	-0.039080	1.040947	0.003645	0.451885
-16.902769	0.008927	1.050944	0.003666	0.451889
-16.587801	-0.126408	1.060941	0.003607	0.451887
-17.267969	0.178972	1.070938	0.003733	0.451937
